timestamp,location,class_name,confidence_score,vehicle_color,license_plate,plate_confidence
2025-07-27 11:55:06,"Kolkata, IN",car,0.49,Blue,N/A,N/A
2025-07-27 11:55:06,"Kolkata, IN",car,0.86,Red,N/A,N/A
2025-07-27 11:55:06,"Kolkata, IN",car,0.85,White,N/A,N/A
2025-07-27 11:55:07,"Kolkata, IN",car,0.93,White,N/A,N/A
2025-07-27 11:55:07,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-07-27 11:55:07,"Kolkata, IN",car,0.94,White,N/A,N/A
2025-07-27 11:55:07,"Kolkata, IN",car,0.89,Blue,N/A,N/A
2025-07-27 11:55:07,"Kolkata, IN",car,0.94,White,N/A,N/A
2025-07-27 11:55:08,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:08,"Kolkata, IN",car,0.94,White,N/A,N/A
2025-07-27 11:55:08,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:08,"Kolkata, IN",car,0.96,White,TNO9BY9726,0.60
2025-07-27 11:55:08,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:09,"Kolkata, IN",car,0.96,White,N/A,N/A
2025-07-27 11:55:09,"Kolkata, IN",car,0.89,Blue,N/A,N/A
2025-07-27 11:55:09,"Kolkata, IN",car,0.94,White,THO9BY9726,0.52
2025-07-27 11:55:09,"Kolkata, IN",car,0.87,Red,N/A,N/A
2025-07-27 11:55:10,"Kolkata, IN",car,0.94,White,THO9BY9726,0.77
2025-07-27 11:55:10,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-07-27 11:55:10,"Kolkata, IN",car,0.94,White,TNOBY9726,0.67
2025-07-27 11:55:10,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:11,"Kolkata, IN",car,0.95,White,N/A,N/A
2025-07-27 11:55:11,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-07-27 11:55:11,"Kolkata, IN",car,0.95,White,THO9BY9726,0.75
2025-07-27 11:55:11,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:12,"Kolkata, IN",car,0.95,White,TNO9BY9726,0.78
2025-07-27 11:55:12,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:12,"Kolkata, IN",car,0.95,White,TNO9BY9726,0.92
2025-07-27 11:55:12,"Kolkata, IN",car,0.89,Red,N/A,N/A
2025-07-27 11:55:13,"Kolkata, IN",car,0.95,White,TNO9BY9726,0.51
2025-07-27 11:55:13,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:13,"Kolkata, IN",car,0.95,White,YA,0.98
2025-07-27 11:55:13,"Kolkata, IN",car,0.89,Red,N/A,N/A
2025-07-27 11:55:14,"Kolkata, IN",car,0.94,White,THO9BY9726,0.83
2025-07-27 11:55:14,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:14,"Kolkata, IN",car,0.95,White,TNO9BY9726,0.79
2025-07-27 11:55:14,"Kolkata, IN",car,0.90,Blue,N/A,N/A
2025-07-27 11:55:15,"Kolkata, IN",car,0.95,White,YA,0.99
2025-07-27 11:55:15,"Kolkata, IN",car,0.90,Red,N/A,N/A
2025-07-27 11:55:15,"Kolkata, IN",car,0.96,White,TNO9BY9726,0.54
2025-07-27 11:55:15,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-07-27 11:55:15,"Kolkata, IN",car,0.95,White,TNO9BY9726,0.98
2025-07-27 11:55:16,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:16,"Kolkata, IN",car,0.95,White,THO9BY9726,0.74
2025-07-27 11:55:16,"Kolkata, IN",car,0.90,Blue,N/A,N/A
2025-07-27 11:55:16,"Kolkata, IN",car,0.95,White,TNO9BY9726,0.68
2025-07-27 11:55:16,"Kolkata, IN",car,0.89,Blue,N/A,N/A
2025-07-27 11:55:17,"Kolkata, IN",car,0.96,White,THO9BY9726,0.76
2025-07-27 11:55:17,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:17,"Kolkata, IN",car,0.96,White,TNO9BY9726,0.95
2025-07-27 11:55:17,"Kolkata, IN",car,0.89,Blue,N/A,N/A
2025-07-27 11:55:18,"Kolkata, IN",car,0.95,White,N/A,N/A
2025-07-27 11:55:18,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:18,"Kolkata, IN",car,0.95,White,THO9BY9726,0.66
2025-07-27 11:55:18,"Kolkata, IN",car,0.88,Red,N/A,N/A
2025-07-27 11:55:19,"Kolkata, IN",car,0.96,White,TN09BY9726,0.62
2025-07-27 11:55:19,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-07-27 11:55:19,"Kolkata, IN",car,0.97,White,TN09BY9726,0.83
2025-07-27 11:55:19,"Kolkata, IN",car,0.86,Blue,N/A,N/A
2025-07-27 11:55:20,"Kolkata, IN",car,0.94,White,TNO9BY9726,0.74
2025-07-27 11:55:20,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:55:20,"Kolkata, IN",car,0.94,White,N/A,N/A
2025-07-27 11:55:20,"Kolkata, IN",car,0.88,Red,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.94,White,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.85,Red,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.88,White,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.81,Red,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.92,White,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.84,Red,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.86,White,N/A,N/A
2025-07-27 11:55:21,"Kolkata, IN",car,0.82,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.63,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.56,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.51,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.69,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.61,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.66,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.64,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",motorcycle,0.60,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.82,White,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",car,0.61,Blue,N/A,N/A
2025-07-27 11:55:22,"Kolkata, IN",motorcycle,0.46,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.63,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.60,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",motorcycle,0.69,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",motorcycle,0.54,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",motorcycle,0.52,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.48,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.66,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",motorcycle,0.63,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",motorcycle,0.59,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",motorcycle,0.48,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.47,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",car,0.80,Blue,N/A,N/A
2025-07-27 11:55:23,"Kolkata, IN",motorcycle,0.51,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",car,0.80,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.66,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.58,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.55,Black,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",car,0.53,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.69,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.63,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.63,Black,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.65,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.62,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.59,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",car,0.53,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.67,Blue,N/A,N/A
2025-07-27 11:55:24,"Kolkata, IN",motorcycle,0.47,Blue,N/A,N/A
2025-07-27 11:55:25,"Kolkata, IN",motorcycle,0.46,Blue,N/A,N/A
2025-07-27 11:55:25,"Kolkata, IN",car,0.46,Blue,N/A,N/A
2025-07-27 11:55:25,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-07-27 11:55:25,"Kolkata, IN",motorcycle,0.72,Blue,N/A,N/A
2025-07-27 11:55:25,"Kolkata, IN",car,0.65,Blue,N/A,N/A
2025-07-27 11:55:25,"Kolkata, IN",motorcycle,0.46,Blue,N/A,N/A
2025-07-27 11:55:27,"Kolkata, IN",car,0.51,Blue,N/A,N/A
