timestamp,location,class_name,confidence_score,vehicle_color,license_plate,plate_confidence
2025-12-12 17:07:29,"Kolkata, IN",car,0.53,Blue,N/A,N/A
2025-12-12 17:07:29,"Kolkata, IN",car,0.46,White,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.86,White,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.89,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.81,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.76,White,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.81,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.77,Black,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.75,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.69,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.59,Blue,N/A,N/A
2025-12-12 17:07:30,"Kolkata, IN",car,0.50,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.47,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.88,White,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.86,White,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.81,White,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.66,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.65,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.92,White,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.81,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.79,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.66,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.45,Black,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.93,Blue,N/A,N/A
2025-12-12 17:07:31,"Kolkata, IN",car,0.82,Blue,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.80,Blue,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.79,Blue,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.75,Blue,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.72,White,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.64,White,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.79,White,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.78,White,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.74,White,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.72,Blue,N/A,N/A
2025-12-12 17:07:32,"Kolkata, IN",car,0.71,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.81,White,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.73,White,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.72,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.65,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.54,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.53,White,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.47,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.86,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.82,Red,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.78,White,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.75,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.68,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.49,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.47,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.91,Red,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-12-12 17:07:33,"Kolkata, IN",car,0.86,Black,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.75,White,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.66,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.60,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.58,White,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.75,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.68,White,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.67,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.57,White,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.48,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.78,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.77,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.74,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.73,Blue,N/A,N/A
2025-12-12 17:07:34,"Kolkata, IN",car,0.73,White,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.71,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.78,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.77,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.77,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.68,White,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.63,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.61,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.56,Black,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.81,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.79,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.78,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.73,Blue,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.72,White,N/A,N/A
2025-12-12 17:07:35,"Kolkata, IN",car,0.59,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.58,White,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.56,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.82,White,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.78,White,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.76,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.73,White,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.62,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.56,Black,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.46,White,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.87,Black,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.82,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.78,Blue,N/A,N/A
2025-12-12 17:07:36,"Kolkata, IN",car,0.74,White,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.74,White,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.73,Blue,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.71,White,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.58,Black,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.57,Black,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.51,Blue,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.89,Black,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.82,Blue,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.76,Blue,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.75,White,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.73,White,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.70,Blue,N/A,N/A
2025-12-12 17:07:37,"Kolkata, IN",car,0.69,White,N/A,N/A
