timestamp,location,class_name,confidence_score,vehicle_color,license_plate,plate_confidence
2025-07-27 11:13:05,"Kolkata, IN",car,0.86,White,N/A,N/A
2025-07-27 11:13:05,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-07-27 11:13:05,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.80,White,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.77,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.77,White,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",motorcycle,0.75,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.72,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.66,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.55,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",bus,0.53,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",truck,0.52,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.51,Black,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.50,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",bus,0.48,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.46,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.84,White,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.83,Blue,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.81,White,N/A,N/A
2025-07-27 11:13:06,"Kolkata, IN",car,0.80,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.78,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",bus,0.77,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.75,White,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",motorcycle,0.66,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.57,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",motorcycle,0.49,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.46,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.45,White,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.86,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.86,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.84,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.81,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.78,White,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",truck,0.66,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.65,White,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.63,Black,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",motorcycle,0.62,Blue,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.59,Black,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.57,Green,N/A,N/A
2025-07-27 11:13:07,"Kolkata, IN",car,0.55,Green,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",motorcycle,0.53,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",bus,0.51,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",motorcycle,0.48,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.88,White,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.88,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.86,White,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.85,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",bus,0.77,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.67,White,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",truck,0.61,Green,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.59,White,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.55,Black,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",truck,0.54,Black,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",truck,0.48,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.47,Black,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.47,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.46,Black,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.92,White,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.90,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.87,Blue,N/A,N/A
2025-07-27 11:13:08,"Kolkata, IN",car,0.87,Blue,N/A,N/A
